tcu_lengths,tcu_words,tcu_syllables
1742.0,5,10
222.0,1,1
526.0,3,3
580.0,4,4
4147.0,15,17
282.0,1,2
1414.0,6,8
1140.0,7,7
4260.0,15,17
313.0,2,2
1000.0,3,3
1618.0,7,9
4136.0,16,19
3994.0,13,15
4222.0,18,19
2210.0,7,8
697.0,3,3
687.0,3,3
2016.0,7,11
2230.0,8,10
2198.0,7,14
724.0,2,2
2424.0,10,13
3216.0,10,13
1705.0,8,9
1049.0,4,7
1331.0,4,7
348.0,1,1
1933.0,7,9
1132.0,4,8
959.0,6,6
560.0,3,3
685.0,4,4
2244.0,10,12
2894.0,8,8
1532.0,9,10
1147.0,3,3
238.0,1,1
1381.0,5,9
1307.0,6,8
512.0,1,1
1001.0,2,3
2370.0,8,10
1286.0,6,6
3229.0,12,13
1311.0,6,8
1511.0,7,7
334.0,1,1
1996.0,8,10
946.0,4,4
738.0,4,4
155.0,1,1
309.0,1,1
615.0,2,2
4470.0,19,27
373.0,1,1
1423.0,8,10
2190.0,9,9
1390.0,7,10
2914.0,13,16
216.0,1,1
2400.0,8,10
1850.0,11,13
166.0,1,1
634.0,1,1
2301.0,14,19
924.0,5,5
1273.0,6,7
4541.0,18,20
875.0,5,5
1388.0,4,6
396.0,1,2
860.0,4,4
3382.0,5,7
2595.0,5,5
585.0,1,1
2365.0,6,6
741.0,2,2
5010.0,24,28
1422.0,6,8
1187.0,4,6
1516.0,5,5
434.0,1,1
2310.0,10,11
2140.0,6,6
1840.0,7,8
3861.0,16,19
398.0,1,1
1310.0,6,7
1620.0,8,9
1116.0,4,4
3030.0,11,14
580.0,1,1
1550.0,8,10
165.0,1,1
116.0,1,1
3569.0,15,16
343.0,2,2
750.0,3,3
2741.0,9,9
5470.0,17,24
850.0,3,3
1760.0,7,7
1740.0,5,7
893.0,2,2
2091.0,8,11
1118.0,4,4
2502.0,10,11
450.0,2,2
1227.0,8,9
913.0,3,4
316.0,2,2
560.0,2,2
4359.0,9,9
5589.0,17,22
1230.0,5,6
680.0,2,2
4637.0,17,23
1118.0,3,4
364.0,1,1
683.0,2,2
946.0,5,5
1660.0,9,10
3420.0,13,13
868.0,4,4
403.0,1,1
10272.0,2,2
788.0,5,5
1194.0,7,9
903.0,4,5
1347.0,7,8
810.0,3,4
1730.0,7,9
1360.0,6,6
339.0,1,1
4399.0,15,18
1814.0,10,11
4676.0,26,29
2454.0,17,19
296.0,2,2
2935.0,9,14
1675.0,7,8
520.0,2,2
339.0,1,2
650.0,3,3
2460.0,7,10
322.0,1,1
1640.0,8,11
1767.0,7,9
2901.0,14,17
2866.0,20,22
172.0,2,2
2748.0,14,14
321.0,2,2
255.0,2,2
1160.0,5,8
270.0,1,1
371.0,2,2
267.0,1,1
2685.0,9,10
990.0,6,7
2643.0,14,15
1348.0,6,9
974.0,5,5
1275.0,2,2
1910.0,9,12
3090.0,10,12
328.0,1,1
1852.0,6,9
471.0,1,1
1563.0,7,7
2917.0,12,12
413.0,2,2
5159.0,17,21
220.0,1,1
754.0,4,4
19325.0,7,8
1573.0,7,7
1420.0,7,8
598.0,3,3
2330.0,12,13
3091.0,10,14
1804.0,9,12
4622.0,12,14
418.0,1,1
4131.0,20,25
375.0,1,1
3210.0,15,20
1538.0,6,7
1280.0,5,7
262.0,1,1
197.0,1,1
1774.0,9,15
552.0,2,3
422.0,3,3
485.0,2,2
527.0,2,3
820.0,1,3
1470.0,6,8
2710.0,13,13
1480.0,9,9
4798.0,16,19
1522.0,6,6
3943.0,11,14
4177.0,16,20
1220.0,6,7
3639.0,11,17
407.0,1,1
2269.0,10,11
423.0,1,1
1782.0,5,10
256.0,2,2
1283.0,5,5
437.0,3,3
740.0,1,2
640.0,1,2
318.0,1,1
522.0,3,4
254.0,1,1
1212.0,5,6
1858.0,9,13
140.0,1,1
2066.0,6,8
645.0,1,2
300.0,1,1
565.0,1,2
157.0,1,1
356.0,1,1
1206.0,2,3
1672.0,7,8
241.0,1,1
1245.0,3,5
5725.0,18,21
243.0,1,1
1700.0,8,10
3777.0,12,14
1000.0,5,5
418.0,3,3
2851.0,2,3
1000.0,3,4
593.0,2,2
1014.0,6,7
1310.0,8,11
986.0,3,3
1814.0,7,9
1419.0,6,6
223.0,1,1
2821.0,12,15
1710.0,11,13
2290.0,6,6
1920.0,11,11
211.0,1,1
448.0,1,1
559.0,3,3
1789.0,11,12
434.0,1,1
1167.0,6,7
1600.0,6,8
4674.0,15,18
463.0,2,2
277.0,1,1
4417.0,16,17
3779.0,18,20
208.0,1,1
1532.0,6,6
1406.0,5,6
1965.0,8,8
399.0,1,1
2365.0,8,9
1293.0,4,4
1055.0,7,7
818.0,3,3
978.0,6,6
1212.0,7,7
2099.0,12,12
1710.0,8,9
383.0,1,1
2130.0,13,13
243.0,1,1
625.0,2,2
574.0,2,2
749.0,2,4
1770.0,10,12
1914.0,9,13
439.0,2,2
1092.0,6,7
459.0,1,1
5861.0,24,25
1090.0,8,9
2010.0,11,12
1076.0,7,7
2025.0,12,12
2470.0,9,10
1285.0,7,8
1183.0,6,7
4120.0,7,7
2746.0,14,18
291.0,1,1
654.0,3,3
1984.0,7,10
341.0,1,1
269.0,1,1
377.0,2,2
485.0,2,2
1571.0,4,4
1490.0,4,9
409.0,2,2
2990.0,8,13
2870.0,7,9
3312.0,8,10
2852.0,9,12
1118.0,3,3
2121.0,4,6
897.0,5,5
750.0,4,4
703.0,2,2
3590.0,15,17
950.0,6,8
1790.0,7,8
1826.0,6,6
644.0,2,2
337.0,1,1
5353.0,11,20
5535.0,21,26
3571.0,8,13
518.0,2,2
3170.0,13,16
10200.0,33,39
200.0,1,1
4214.0,15,22
330.0,2,2
510.0,2,3
780.0,2,3
1860.0,8,8
4023.0,10,11
7429.0,22,25
9984.0,4,4
8040.0,21,25
2240.0,9,12
500.0,2,3
1600.0,5,9
229.0,1,1
2450.0,13,14
1170.0,3,5
404.0,2,2
4875.0,17,24
3182.0,6,7
2910.0,11,17
6740.0,19,23
3656.0,12,15
618.0,2,2
11971.0,4,4
2030.0,10,11
6630.0,20,27
6640.0,25,35
2240.0,10,12
8426.0,22,25
650.0,2,2
978.0,5,5
710.0,4,5
380.0,1,1
2020.0,8,8
2469.0,5,11
380.0,2,2
1565.0,7,7
1810.0,6,9
1100.0,4,5
1830.0,4,5
1989.0,9,12
6069.0,20,31
622.0,1,1
694.0,2,3
2436.0,9,13
3506.0,16,17
1430.0,6,7
280.0,1,1
2269.0,8,8
8528.0,28,35
1197.0,3,3
985.0,3,3
2980.0,9,10
2980.0,11,13
303.0,2,2
3084.0,13,14
903.0,4,4
484.0,1,1
2417.0,7,8
284.0,1,1
881.0,4,5
342.0,1,1
370.0,1,1
720.0,3,4
1435.0,2,3
7711.0,29,37
1820.0,8,9
410.0,2,3
220.0,1,1
130.0,1,1
4190.0,20,24
443.0,1,1
338.0,1,1
945.0,4,4
1510.0,5,6
3811.0,14,16
1040.0,3,4
248.0,1,1
4075.0,9,12
3340.0,11,13
820.0,2,2
2240.0,9,12
6910.0,17,23
1060.0,2,2
710.0,1,1
1393.0,2,3
30.0,1,1
120.0,1,1
418.0,1,1
660.0,2,3
1251.0,7,9
990.0,5,7
634.0,3,3
739.0,4,4
2694.0,9,13
1013.0,3,3
570.0,3,3
1830.0,9,10
1336.0,6,8
4590.0,12,20
1110.0,5,6
1420.0,8,8
546.0,1,1
4110.0,13,15
1239.0,7,8
600.0,2,2
6450.0,20,22
7184.0,15,21
470.0,2,2
4994.0,15,16
4052.0,11,13
1586.0,7,8
796.0,3,3
2202.0,11,14
1580.0,6,6
1174.0,5,5
547.0,2,2
625.0,1,1
666.0,2,2
2371.0,9,12
1150.0,3,3
2221.0,9,13
1135.0,4,5
525.0,1,1
1376.0,7,9
375.0,1,1
245.0,1,1
230.0,1,1
1127.0,6,6
1070.0,5,5
465.0,1,1
120.0,1,1
1057.0,3,3
2837.0,13,13
4060.0,16,18
8233.0,15,19
540.0,2,2
740.0,1,4
678.0,2,3
1660.0,5,7
450.0,1,1
5620.0,16,23
1634.0,6,9
880.0,5,5
984.0,5,6
496.0,1,1
520.0,1,1
433.0,2,2
984.0,2,2
5560.0,8,9
900.0,2,2
800.0,3,3
1340.0,4,5
2703.0,8,10
1353.0,8,8
1315.0,4,4
497.0,1,2
609.0,3,4
325.0,3,3
2586.0,11,12
250.0,2,2
1510.0,5,5
1354.0,6,7
765.0,2,2
408.0,2,2
5800.0,21,25
502.0,2,2
4772.0,8,11
2428.0,8,9
2788.0,11,12
2862.0,11,13
1620.0,5,9
300.0,1,2
411.0,1,1
1064.0,2,2
5107.0,14,20
1506.0,8,9
1120.0,6,7
270.0,1,1
242.0,2,2
2147.0,10,13
330.0,1,1
456.0,3,3
2000.0,12,14
1407.0,7,12
417.0,2,2
795.0,3,6
745.0,5,6
5966.0,14,16
451.0,2,2
3530.0,14,20
6552.0,22,33
4220.0,21,23
180.0,1,1
1840.0,6,7
6037.0,20,20
762.0,2,2
365.0,2,2
1726.0,7,7
682.0,1,3
2590.0,12,13
395.0,1,1
541.0,3,3
5690.0,27,32
5430.0,15,24
1772.0,10,13
1052.0,4,5
7951.0,23,30
849.0,2,2
1970.0,7,9
910.0,4,4
6710.0,23,32
1400.0,9,9
2655.0,7,11
160.0,1,1
1802.0,6,7
1771.0,8,11
410.0,2,2
6452.0,20,25
3252.0,17,21
440.0,2,2
3089.0,13,16
309.0,1,1
506.0,1,1
2803.0,12,15
370.0,1,1
360.0,1,1
2777.0,7,12
7855.0,23,28
1760.0,8,9
850.0,3,4
2938.0,14,17
3424.0,8,9
360.0,1,1
493.0,2,2
6254.0,22,30
4240.0,15,19
672.0,2,2
2630.0,13,18
530.0,1,1
280.0,2,2
1070.0,5,5
390.0,2,2
5115.0,17,18
406.0,1,1
6822.0,26,32
4418.0,18,24
7434.0,23,28
6641.0,20,26
693.0,5,9
1590.0,9,10
449.0,1,1
4042.0,10,17
2064.0,10,11
3739.0,13,16
3889.0,20,26
420.0,1,1
649.0,2,2
9900.0,29,40
3540.0,14,16
1000.0,7,7
1180.0,5,8
5172.0,17,28
406.0,2,2
1008.0,4,6
500.0,4,4
1522.0,5,9
1220.0,5,7
309.0,1,1
9026.0,25,33
6054.0,14,16
2249.0,11,15
2961.0,13,14
530.0,2,2
1140.0,6,7
5148.0,10,14
420.0,2,2
3370.0,18,22
445.0,1,1
1545.0,6,7
4120.0,11,14
200.0,1,1
920.0,2,3
4507.0,16,22
150.0,1,1
1780.0,6,6
3556.0,7,10
448.0,2,2
1019.0,4,7
1060.0,5,5
1163.0,5,8
1239.0,4,5
710.0,3,4
640.0,1,2
1689.0,2,3
3461.0,3,3
2756.0,11,14
2733.0,10,11
947.0,5,5
3060.0,9,12
921.0,2,4
1146.0,2,2
293.0,1,1
4042.0,17,25
1689.0,8,9
2083.0,7,10
985.0,3,3
4285.0,18,28
558.0,2,2
3896.0,7,7
7300.0,24,33
2646.0,12,15
657.0,1,1
730.0,2,2
308.0,1,1
380.0,1,3
78.0,1,1
2281.0,10,13
304.0,1,1
6932.0,20,24
1668.0,7,11
471.0,1,1
1161.0,3,3
1582.0,7,9
2060.0,9,12
934.0,2,2
3429.0,9,10
3701.0,8,13
433.0,2,2
1351.0,4,4
4139.0,13,14
5301.0,10,17
537.0,3,3
1360.0,3,3
283.0,2,2
3847.0,13,19
2352.0,5,5
2024.0,8,11
1905.0,4,5
370.0,1,1
3732.0,11,16
2227.0,8,11
1549.0,9,11
328.0,1,1
4018.0,15,19
402.0,2,2
6388.0,17,23
370.0,2,2
4334.0,16,21
3120.0,10,16
4263.0,8,9
550.0,1,3
928.0,2,4
565.0,2,3
1440.0,5,5
325.0,1,1
1160.0,3,5
563.0,1,1
2446.0,8,10
3038.0,10,17
429.0,2,2
1287.0,6,7
1672.0,5,7
1450.0,5,6
4174.0,23,27
3419.0,11,15
351.0,1,1
434.0,1,1
3194.0,11,16
351.0,2,2
2070.0,7,8
602.0,3,3
456.0,1,1
3402.0,13,17
1245.0,6,10
579.0,2,2
1950.0,8,9
376.0,2,2
202.0,1,1
3370.0,14,21
1114.0,4,5
7810.0,21,27
460.0,2,2
500.0,2,2
7092.0,26,33
2300.0,10,14
1220.0,7,8
881.0,5,5
1409.0,8,9
445.0,1,1
905.0,4,4
1360.0,5,6
7031.0,27,31
443.0,2,2
5268.0,15,22
4794.0,15,17
344.0,1,1
2570.0,8,13
2091.0,6,8
611.0,2,2
157.0,1,1
436.0,2,2
136.0,1,2
1605.0,8,12
1430.0,7,9
4294.0,12,15
379.0,1,1
319.0,1,1
2952.0,10,16
556.0,1,1
1627.0,5,6
613.0,2,2
3747.0,19,21
169.0,1,1
419.0,1,1
478.0,3,3
275.0,1,1
270.0,1,1
1471.0,5,7
2727.0,5,8
2627.0,9,12
471.0,1,1
4330.0,10,19
1975.0,7,11
1276.0,4,7
373.0,1,1
9045.0,31,41
1810.0,7,11
1331.0,7,8
460.0,2,2
1306.0,5,5
6791.0,18,22
375.0,1,1
3503.0,9,12
1148.0,5,5
7945.0,21,27
439.0,2,2
8920.0,26,34
382.0,1,1
1312.0,8,8
3295.0,14,19
205.0,1,1
3364.0,7,10
354.0,2,2
2467.0,10,11
1261.0,4,5
2832.0,14,16
4939.0,19,25
9517.0,27,38
511.0,2,2
2570.0,3,4
1860.0,7,8
4180.0,11,14
1971.0,8,10
4010.0,11,16
621.0,1,1
1205.0,5,6
4045.0,10,11
2201.0,10,11
397.0,1,1
2256.0,8,9
6291.0,18,21
419.0,2,2
3165.0,12,13
4099.0,13,16
341.0,2,2
920.0,4,5
992.0,2,3
1651.0,5,6
405.0,2,2
8844.0,28,32
468.0,1,1
1621.0,5,5
