turn_lengths,turn_words,turn_syllables,tcus_per_turn
2006.0,5,10,1
1448.0,4,4,2
4147.0,4,4,1
282.0,15,17,1
3158.0,7,10,2
5884.0,24,26,3
1618.0,3,3,1
4136.0,7,9,1
12131.0,54,61,4
687.0,3,3,1
6399.0,25,38,4
2424.0,2,2,1
6154.0,28,35,3
1331.0,4,7,1
348.0,4,7,1
1933.0,1,1,1
9292.0,34,42,6
1532.0,8,8,1
1147.0,9,10,1
238.0,3,3,1
2856.0,6,10,2
512.0,6,8,1
12690.0,42,48,7
1996.0,1,1,1
946.0,8,10,1
738.0,4,4,1
389.0,5,5,2
615.0,1,1,1
3988.0,21,29,2
9050.0,25,30,4
216.0,13,16,1
5247.0,21,25,4
2301.0,1,1,1
2640.0,19,24,2
4541.0,6,7,1
875.0,18,20,1
1388.0,5,5,1
396.0,4,6,1
5343.0,5,6,2
2595.0,5,7,1
2613.0,12,12,3
5010.0,2,2,1
5284.0,39,47,4
2310.0,1,1,1
7167.0,39,44,4
1310.0,1,1,1
6598.0,29,34,4
1550.0,1,1,1
1062.0,9,11,2
4215.0,16,17,2
750.0,2,2,1
12891.0,39,46,5
893.0,5,7,1
2091.0,2,2,1
1118.0,8,11,1
5404.0,24,26,4
316.0,3,4,1
4447.0,4,4,2
5589.0,9,9,1
1230.0,17,22,1
5939.0,27,35,4
683.0,1,1,1
7347.0,29,30,4
403.0,4,4,1
10272.0,1,1,1
788.0,2,2,1
9396.0,39,46,7
4399.0,1,1,1
1814.0,15,18,1
5595.0,53,59,3
2935.0,2,2,1
1675.0,9,14,1
488.0,9,10,2
650.0,1,2,1
1936.0,10,13,2
1640.0,1,1,1
4875.0,15,20,2
3362.0,34,39,2
2748.0,2,2,1
321.0,14,14,1
1914.0,9,12,3
454.0,3,3,2
12637.0,62,73,9
1852.0,1,1,1
471.0,6,9,1
1563.0,1,1,1
10195.0,21,21,3
220.0,17,21,1
19944.0,5,5,2
1573.0,7,8,1
22254.0,81,97,9
3210.0,1,1,1
5312.0,27,35,4
2813.0,10,16,2
422.0,2,3,1
2577.0,7,8,3
1470.0,1,3,1
10339.0,44,49,4
3943.0,6,6,1
4177.0,11,14,1
4798.0,33,44,3
2269.0,1,1,1
423.0,10,11,1
1782.0,1,1,1
3262.0,15,20,4
640.0,1,2,1
712.0,5,7,3
1986.0,6,7,2
2799.0,16,22,3
300.0,1,2,1
5613.0,13,16,6
7503.0,4,6,2
243.0,18,21,1
9941.0,29,33,5
1000.0,2,3,1
1916.0,5,6,2
1310.0,6,7,1
